#@@@@@@
#perturbation					DG_free_to_bound  err
FXR_88_BM1,FXR_85_BM1,0.51,0.05
FXR_85_BM1,FXR_88_BM1,-0.14,0.05
#####
FXR_12_BM2,FXR_76,1.69,0.07
FXR_76,FXR_12_BM2,-0.18,0.07
#####
FXR_10_BM1,FXR_38_BM1,-3.54,0.06
FXR_38_BM1,FXR_10_BM1,7.50,0.06
#####
FXR_81_BM1,FXR_77_BM1,-0.29,0.03
FXR_77_BM1,FXR_81_BM1,0.59,0.03
#####
FXR_84_BM1,FXR_74_BM1,-0.58,0.06
FXR_74_BM1,FXR_84_BM1,1.19,0.06
#####
FXR_83_BM2,FXR_76,1.03,0.13
FXR_76,FXR_83_BM2,-2.88,0.13
#####
Int01_BM1,FXR_10_BM1,9.70,0.12
FXR_10_BM1,Int01_BM1,-4.14,0.12
#####
FXR_76,FXR_81_BM1,0.48,0.11
FXR_81_BM1,FXR_76,-0.13,0.11
#####
FXR_76,FXR_81_BM2,-1.13,0.11
FXR_81_BM2,FXR_76,0.98,0.11
#####
